oxycon,Ta,dens,injP,orifDiam,liftoff
21.0,953.7,7.25,141.1,0.18,48.23
21.0,1003.3,7.26,138.6,0.18,42.14
21.0,1052.3,7.27,140.1,0.18,32.21
21.0,1099.0,7.27,140.8,0.18,26.17
21.0,1202.0,7.27,140.5,0.18,19.77
21.0,799.8,14.81,139.1,0.18,65.2
21.0,851.3,14.81,142.0,0.18,41.02
21.0,902.5,14.8,139.6,0.18,31.24
21.0,951.9,14.79,141.2,0.18,24.65
21.0,1002.3,14.8,143.8,0.18,21.85
21.0,1100.1,14.8,144.8,0.18,15.92
21.0,1201.9,14.79,143.6,0.18,12.54
21.0,1301.1,14.8,141.2,0.18,9.17
21.0,802.1,29.99,146.2,0.18,29.84
21.0,852.3,29.94,147.7,0.18,21.28
21.0,901.3,29.98,148.7,0.18,17.07
21.0,950.8,29.99,146.2,0.18,13.93
21.0,998.8,30.04,149.6,0.18,12.2
21.0,1096.7,30.12,148.9,0.18,9.52
21.0,1193.6,30.05,150.0,0.18,7.01
21.0,1301.4,29.99,151.6,0.18,5.45
21.0,801.1,58.42,149.6,0.18,17.47
21.0,998.8,58.4,155.9,0.18,7.53
21.0,1205.1,58.23,160.3,0.18,3.98
21.0,1299.4,58.5,164.4,0.18,3.29
21.0,942.9,7.24,140.0,0.246,56.48
21.0,1001.5,7.24,141.1,0.246,40.94
21.0,1054.1,7.24,142.1,0.246,33.62
21.0,1102.6,7.25,141.7,0.246,28.49
21.0,1202.3,7.24,141.8,0.246,21.97
21.0,803.7,14.74,142.9,0.246,56.35
21.0,851.7,14.76,142.4,0.246,41.12
21.0,900.7,14.82,143.9,0.246,32.15
21.0,952.9,14.76,144.0,0.246,27.85
21.0,997.6,14.86,143.8,0.246,22.64
21.0,1105.3,14.76,143.4,0.246,18.63
21.0,1206.1,14.74,143.9,0.246,14.26
21.0,1305.5,14.75,141.4,0.246,10.15
21.0,807.1,29.98,147.3,0.246,29.81
21.0,856.0,29.98,148.5,0.246,22.32
21.0,906.1,30.0,149.2,0.246,18.66
21.0,958.7,29.95,147.7,0.246,16.23
21.0,1009.1,29.97,148.1,0.246,13.78
21.0,1107.9,30.08,148.6,0.246,10.7
21.0,1203.5,30.11,148.9,0.246,8.45
21.0,1303.9,29.93,149.4,0.246,5.71
21.0,802.5,14.78,140.3,0.363,57.94
21.0,901.1,14.8,141.8,0.363,36.04
21.0,1000.3,14.8,143.6,0.363,27.28
21.0,1100.5,14.82,145.9,0.363,21.57
21.0,1198.3,14.83,141.9,0.363,16.85
21.0,1301.2,14.81,145.1,0.363,13.34
21.0,1002.1,7.27,140.7,0.363,43.53
21.0,1000.8,29.98,147.0,0.363,15.79
21.0,1000.6,14.81,51.9,0.363,20.67
21.0,1002.6,14.79,191.3,0.363,27.66
21.0,1002.7,7.22,141.0,0.1,35.45
21.0,1051.2,7.26,140.8,0.1,26.87
21.0,1099.8,7.27,139.6,0.1,22.85
21.0,1200.1,7.26,139.9,0.1,16.78
21.0,1298.6,7.27,141.7,0.1,11.83
21.0,805.1,14.72,142.8,0.1,59.61
21.0,1102.6,14.79,143.1,0.1,12.53
21.0,1216.1,14.66,145.4,0.1,9.27
21.0,1299.8,14.81,146.6,0.1,7.21
21.0,802.4,29.94,147.5,0.1,28.08
21.0,854.5,29.87,148.2,0.1,18.31
21.0,954.3,29.89,149.1,0.1,11.82
21.0,1101.4,30.01,148.4,0.1,7.67
21.0,1197.3,30.09,149.1,0.1,5.71
21.0,1302.2,29.97,148.2,0.1,4.5
15.0,901.2,14.81,139.3,0.1,38.17
15.0,998.2,14.81,147.3,0.1,25.57
15.0,1099.1,14.8,144.8,0.1,17.14
15.0,1201.2,14.8,144.8,0.1,12.91
15.0,1302.5,14.79,142.9,0.1,9.49
15.0,1001.6,7.28,142.6,0.1,48.3
15.0,994.9,58.7,159.3,0.1,8.81
15.0,1000.4,7.27,142.2,0.18,52.74
15.0,1097.2,7.27,141.2,0.18,37.97
15.0,1201.4,7.27,142.3,0.18,26.88
15.0,1299.2,7.27,141.8,0.18,19.29
15.0,900.2,14.8,140.9,0.18,44.27
15.0,999.5,14.78,141.7,0.18,29.51
15.0,1100.2,14.8,141.8,0.18,22.99
15.0,1297.3,14.85,143.0,0.18,12.39
15.0,897.9,30.11,146.9,0.18,22.92
15.0,997.3,30.09,147.0,0.18,16.35
15.0,1098.6,30.09,147.4,0.18,12.83
15.0,897.1,58.69,155.0,0.18,13.71
15.0,995.6,58.72,155.7,0.18,10.66
15.0,1167.1,58.77,161.4,0.18,6.22
15.0,1283.6,58.89,164.6,0.18,4.43
17.0,1000.2,7.26,140.9,0.18,46.54
17.0,1096.7,7.27,140.4,0.18,33.84
17.0,1199.6,7.27,139.6,0.18,25.4
17.0,1299.1,7.27,140.6,0.18,19.55
17.0,850.7,14.79,139.8,0.18,48.68
17.0,900.5,14.8,140.1,0.18,39.06
17.0,1003.3,14.77,141.5,0.18,26.86
17.0,1101.7,14.79,140.6,0.18,20.69
17.0,1199.7,14.79,140.6,0.18,15.15
17.0,1299.8,14.8,140.4,0.18,12.11
17.0,802.9,29.94,146.5,0.18,36.79
17.0,897.2,30.12,147.3,0.18,21.83
17.0,1098.3,30.09,151.0,0.18,11.5
17.0,1199.0,30.05,150.6,0.18,7.91
17.0,1297.7,30.06,150.2,0.18,6.27
19.0,1003.7,7.26,141.0,0.18,41.19
19.0,1099.1,7.28,140.6,0.18,29.96
19.0,1199.8,7.27,140.4,0.18,22.68
19.0,1299.2,7.27,140.8,0.18,16.61
19.0,850.9,14.8,140.6,0.18,47.52
19.0,1002.9,14.78,142.3,0.18,24.41
19.0,1099.1,14.81,141.0,0.18,18.49
19.0,1200.6,14.8,141.7,0.18,13.56
19.0,1299.8,14.79,141.6,0.18,10.41
19.0,900.6,30.02,147.7,0.18,18.86
19.0,1000.3,30.04,149.3,0.18,14.27
19.0,1097.8,30.11,152.5,0.18,10.47
19.0,1201.3,30.01,152.6,0.18,7.91
19.0,1299.8,30.04,152.6,0.18,6.01
21.0,1003.4,14.76,188.8,0.18,23.1
21.0,1004.3,14.74,170.2,0.18,23.05
21.0,1003.5,14.74,115.2,0.18,20.68
21.0,1003.0,14.76,95.2,0.18,19.03
21.0,1002.5,14.76,65.0,0.18,17.36
21.0,1001.7,14.79,45.7,0.18,15.39
21.0,851.3,14.8,187.0,0.18,45.62
21.0,851.0,14.8,92.9,0.18,32.82
21.0,849.9,14.82,49.5,0.18,25.83
21.0,1000.8,29.97,195.7,0.18,12.57
21.0,999.1,30.03,97.4,0.18,10.29
21.0,1002.6,29.93,50.5,0.18,8.79
19.0,1002.4,14.78,188.0,0.18,26.47
