Save,noxycon,ntemp,ndensity,norif,nsernum,ninjpres,ninjdur,nfuelt,nfueltemp,ninst,fileBaseName,date,readme,refs,oxycon,oxyconU,ambComp,ambCompU,MW,Ta,TaS,TaU,Ta_ai,Tbulk,dens,densS,densU,dens_ai,densbulk,ambP,Z,ZU,ambVelocity,ambVelocityU,ambVelTurbulence,ambVelTurbulenceU,vessGeom,injP,injPS,injPU,Tfuel,TfuelS,TfuelU,Tnozzle,TnozzleS,TnozzleU,roi,roiS,roiU,injDur,injDurS,injDurU,injMass,injMassS,injMassU,Cd,CdU,Ca,CaU,orifDiam,orifDiamU,nozGeom,nozGeomU,needlePos,needlePosU,injlag,fuelprops,liqlen,liqlenS,liqlenU,liftoff,liftoffS,liftoffU,igndly,igndlyS,igndlyU,igndlyL,igndlyLS,igndlyLU,pressCV,jetpen,flamelength,spreadAngle,mixing,velocity,combSpecies,liqVol,dropDia,soot,movie,AddFiles
-,mole fraction %,K,kg/m3,mm,-,MPa,ms,-,K,-,-,-,-,-,mole fraction %,mole fraction %,mole fraction %,mole fraction %,-,K,K,K,K,K,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,MPa,-,-,m/s,m/s,m/s,m/s,-,MPa,MPa,MPa,K,K,K,K,K,K,mg/ms,mg/ms,mg/ms,ms,ms,ms,mg,mg,mg,-,-,-,-,mm,mm,-,-,mm,mm,ms,-,mm,mm,mm,mm,mm,mm,ms,ms,ms,ms,ms,ms,MPa,mm,mm,degrees,F/A ratio by number,m/s,-,liquid volume fraction,mm,-,-,-
-,vol%,K,kg/m<sup>3</sup>,mm,-,MPa,ms,-,K,-,-,-,-,-,%,%,%,%,-,K,K,K,K,K,kg/m<sup>3</sup>,kg/m<sup>3</sup>,kg/m<sup>3</sup>,kg/m<sup>3</sup>,kg/m<sup>3</sup>,MPa,-,-,m/s,m/s,m/s,m/s,-,MPa,MPa,MPa,K,K,K,K,K,K,mg/ms,mg/ms,mg/ms,ms,ms,ms,mg,mg,mg,-,-,-,-,mm,mm,-,-,mm,mm,ms,-,mm,mm,mm,mm,mm,mm,ms,ms,ms,ms,ms,ms,MPa,mm,mm,degrees,F/A ratio by number,m/s,-,liq vol fraction,mm,-,-,-
1,0,700,3.6,0.246-a,-,140,-,CET,436,Sandia,#boadc-a.001-.005,1-Dec-20,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,695,-,-,-,-,3.6,0.73,1.002,-,-,-,-,-,-,139.73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,98.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,0,700,7.3,0.246-a,-,140,-,CET,436,Sandia,#bobdc-a.001-.005,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,690,-,-,-,-,30.4,1.49,1.004,-,-,-,-,-,-,139.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,0,700,14.8,0.246-a,-,140,-,CET,436,Sandia,#bocdc-a.001-.005,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,690,-,-,-,-,15,3.03,1.008,-,-,-,-,-,-,139.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,0,700,30,0.246-a,-,130,-,CET,436,Sandia,#boddc-a.001-.005,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,690,-,-,-,-,30.4,6.2,1.018,-,-,-,-,-,-,140.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,0,700,58.5,0.246-a,-,140,-,CET,436,Sandia,#boedc-a.001-.001,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,693,-,-,-,-,59.1,12.34,1.039,-,-,-,-,-,-,152.34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,0,850,3.6,0.246-a,-,140,-,CET,436,Sandia,#bladc-a.001-.005,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,839,-,-,-,-,3.6,0.89,1.002,-,-,-,-,-,-,139.89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,0,850,7.3,0.246-a,-,140,-,CET,436,Sandia,#blbdc-a.001-.005,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,834,-,-,-,-,7.4,1.81,1.005,-,-,-,-,-,-,139.81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,0,850,14.8,0.246-a,-,140,-,CET,436,Sandia,#blcdc-a.001-.005,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,830,-,-,-,-,15.2,3.68,1.01,-,-,-,-,-,-,139.68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
