timestamp,airIRG2GroupStatusAirFlowMetric[L/s],airIRG2GroupStatusAirFlowUS[Cubicfeet/m],airIRG2GroupStatusCoolOutput[KWh],airIRG2GroupStatusMinRackInletTempMetric[C],airIRG2RDT2StatusCoolDemand[KWh],airIRG2RDT2StatusEvaporatorFanSpeed[%],airIRG2RDT2StatusReturnAirTempMetric[C],airIRG2RDT2StatusSuctionTempMetric[C],airIRG2RDT2StatusSupplyAirTempMetric[C],max_rack_temp,design
2022-06-03 15:00:00,8.12,17.21,3.0,22.9,3.0,77.9,24.6,17.7,21.1,33.4,previous
2022-06-03 15:00:10,8.11,17.19,3.0,22.9,3.0,77.8,24.6,17.6,21.1,33.4,previous
2022-06-03 15:00:20,8.1,17.16,3.0,23.0,3.0,77.7,24.6,17.3,21.0,33.4,previous
2022-06-03 15:00:30,8.1,17.16,3.0,23.0,3.0,77.7,24.6,17.3,21.0,33.4,previous
2022-06-03 15:00:40,8.11,17.18,3.1,22.9,3.1,77.8,24.6,17.3,21.0,33.4,previous
2022-06-03 15:00:50,8.11,17.19,2.9,22.9,2.9,77.9,24.6,17.4,21.0,33.4,previous
2022-06-03 15:01:00,8.11,17.19,2.9,22.9,2.9,77.9,24.6,17.4,21.0,33.4,previous
2022-06-03 15:01:10,8.11,17.18,3.0,22.9,3.0,77.8,24.5,17.7,21.0,33.4,previous
2022-06-03 15:01:20,8.11,17.19,3.0,22.9,3.0,77.9,24.6,17.8,21.0,33.4,previous
2022-06-03 15:01:30,8.11,17.19,3.0,22.9,3.0,77.9,24.6,17.8,21.0,33.4,previous
2022-06-03 15:01:40,8.1,17.16,2.9,22.9,2.9,77.8,24.6,17.8,21.0,33.4,previous
2022-06-03 15:01:50,8.11,17.19,3.0,22.9,3.0,77.9,24.6,17.8,21.0,33.4,previous
2022-06-03 15:02:00,8.11,17.19,3.0,22.9,3.0,77.9,24.6,17.8,21.0,33.4,previous
2022-06-03 15:02:10,8.11,17.18,3.1,22.9,3.1,77.8,24.6,17.8,21.0,33.4,previous
2022-06-03 15:02:20,8.11,17.18,2.8,23.0,2.8,77.8,24.6,17.7,21.0,33.4,previous
2022-06-03 15:02:30,8.11,17.18,2.8,23.0,2.8,77.8,24.6,17.7,21.0,33.5,previous
2022-06-03 15:02:40,8.12,17.21,3.0,22.9,3.0,77.9,24.6,17.7,21.1,33.5,previous
2022-06-03 15:02:50,8.12,17.21,3.0,23.0,3.0,77.9,24.6,17.9,21.0,33.5,previous
2022-06-03 15:03:00,8.12,17.21,3.0,23.0,3.0,77.9,24.6,17.9,21.0,33.5,previous
2022-06-03 15:03:10,8.12,17.21,3.0,23.0,3.0,77.9,24.6,17.7,21.0,33.5,previous
2022-06-03 15:03:20,8.11,17.19,2.9,23.0,2.9,77.8,24.5,17.6,20.9,33.5,previous
2022-06-03 15:03:30,8.11,17.19,2.9,23.0,2.9,77.8,24.5,17.6,20.9,33.5,previous
2022-06-03 15:03:40,8.11,17.19,3.1,23.0,3.1,77.9,24.6,17.6,21.0,33.5,previous
2022-06-03 15:03:50,8.11,17.19,2.8,23.0,2.8,77.9,24.5,17.6,21.0,33.5,previous
2022-06-03 15:04:00,8.11,17.19,2.8,23.0,2.8,77.9,24.5,17.6,21.0,33.6,previous
2022-06-03 15:04:10,8.11,17.18,3.0,22.9,3.0,77.8,24.6,17.7,21.0,33.6,previous
2022-06-03 15:04:20,8.12,17.21,2.9,22.9,2.9,77.9,24.6,17.8,21.0,33.6,previous
2022-06-03 15:04:30,8.12,17.21,2.9,22.9,2.9,77.9,24.6,17.8,21.0,33.6,previous
2022-06-03 15:04:40,8.11,17.18,3.0,22.9,3.0,77.8,24.7,17.8,21.1,33.6,previous
2022-06-03 15:04:50,8.11,17.18,3.0,23.0,3.0,77.7,24.7,17.9,21.0,33.6,previous
2022-06-03 15:05:00,8.11,17.18,3.0,23.0,3.0,77.7,24.7,17.9,21.0,33.6,previous
2022-06-03 15:05:10,8.13,17.23,2.9,22.9,2.9,77.9,24.6,17.7,21.1,33.6,previous
2022-06-03 15:05:20,8.11,17.18,3.0,23.0,3.0,77.8,24.6,17.6,21.1,33.6,previous
2022-06-03 15:05:30,8.11,17.18,3.0,23.0,3.0,77.8,24.6,17.6,21.1,33.6,previous
2022-06-03 15:05:40,8.1,17.16,3.0,23.0,3.0,77.7,24.6,17.4,21.0,33.6,previous
2022-06-03 15:05:50,8.12,17.21,3.0,22.9,3.0,77.9,24.6,17.3,21.0,33.6,previous
2022-06-03 15:06:00,8.12,17.21,3.0,22.9,3.0,77.9,24.6,17.3,21.0,33.6,previous
2022-06-03 15:06:10,8.12,17.21,2.8,23.0,2.8,77.9,24.6,17.4,21.0,33.6,previous
2022-06-03 15:06:20,8.11,17.19,3.0,23.0,3.0,77.9,24.7,17.6,21.0,33.6,previous
2022-06-03 15:06:30,8.11,17.19,3.0,23.0,3.0,77.9,24.7,17.6,21.0,33.6,previous
2022-06-03 15:06:40,8.09,17.13,3.0,22.9,3.0,77.6,24.6,17.7,20.9,33.6,previous
2022-06-03 15:06:50,8.12,17.21,2.9,23.0,3.0,77.9,24.5,17.7,21.0,33.6,previous
2022-06-03 15:07:00,8.12,17.21,2.9,23.0,3.0,77.9,24.5,17.7,21.0,33.6,previous
2022-06-03 15:07:10,8.11,17.19,3.0,22.9,3.0,77.9,24.6,17.7,21.1,33.6,previous
2022-06-03 15:07:20,8.11,17.18,3.0,22.9,2.9,77.8,24.6,17.8,21.0,33.6,previous
