Result,arc_length
20.979,0
20.979,0.0019
20.979,0.0038
20.979,0.0057
20.979,0.0076
20.979,0.0095
20.979,0.0114
20.979,0.0133
20.979,0.0152
20.978,0.0171
20.978,0.019
20.978,0.0209
20.978,0.0228
20.978,0.0247
20.978,0.0266
20.978,0.0285
20.978,0.0304
20.978,0.0323
20.978,0.0342
20.978,0.0361
20.978,0.038
20.978,0.0399
20.978,0.0418
20.978,0.0437
20.978,0.0456
20.978,0.0475
20.978,0.0494
20.978,0.0513
20.978,0.0532
20.978,0.0551
20.978,0.057
20.978,0.0589
20.978,0.0608
20.978,0.0627
20.978,0.0646
20.978,0.0665
20.978,0.0684
20.978,0.0703
20.978,0.0722
20.978,0.0741
20.978,0.076
20.978,0.0779
20.978,0.0798
20.978,0.0817
20.978,0.0836
20.978,0.0855
20.978,0.0874
20.978,0.0893
20.978,0.0912
20.978,0.0931
20.978,0.095
20.978,0.0969
20.978,0.0988
20.978,0.1007
20.978,0.1026
20.978,0.1045
20.978,0.1064
20.978,0.1083
20.978,0.1102
20.978,0.1121
20.978,0.114
20.978,0.1159
20.978,0.1178
20.978,0.1197
20.978,0.1216
20.978,0.1235
20.978,0.1254
20.978,0.1273
20.978,0.1292
20.978,0.1311
20.977,0.133
20.977,0.1349
20.977,0.1368
20.977,0.1387
20.977,0.1406
20.977,0.1425
20.977,0.1444
20.977,0.1463
20.977,0.1482
20.977,0.1501
20.977,0.152
20.977,0.1539
20.977,0.1558
20.977,0.1577
20.977,0.1596
20.977,0.1615
20.977,0.1634
20.977,0.1653
20.977,0.1672
20.977,0.1691
20.977,0.171
20.977,0.1729
20.977,0.1748
20.977,0.1767
20.977,0.1786
20.977,0.1805
20.977,0.1824
20.977,0.1843
20.977,0.1862
20.977,0.1881
20.977,0.19
20.977,0.1919
20.977,0.1938
20.977,0.1957
20.977,0.1976
20.977,0.1995
20.977,0.2014
20.977,0.2033
20.977,0.2052
20.977,0.2071
20.977,0.209
20.977,0.2109
20.977,0.2128
20.977,0.2147
20.977,0.2166
20.977,0.2185
20.977,0.2204
20.977,0.2223
20.977,0.2242
20.977,0.2261
20.977,0.228
20.977,0.2299
20.977,0.2318
20.977,0.2337
20.977,0.2356
20.977,0.2375
20.977,0.2394
20.977,0.2413
20.977,0.2432
20.977,0.2451
20.977,0.247
20.977,0.2489
20.977,0.2508
20.977,0.2527
20.977,0.2546
20.977,0.2565
20.977,0.2584
20.977,0.2603
20.977,0.2622
20.976,0.2641
20.976,0.266
20.976,0.2679
20.976,0.2698
20.976,0.2717
20.976,0.2736
20.976,0.2755
20.976,0.2774
20.976,0.2793
20.976,0.2812
20.976,0.2831
20.976,0.285
20.976,0.2869
20.976,0.2888
20.976,0.2907
20.976,0.2926
20.976,0.2945
20.976,0.2964
20.976,0.2983
20.976,0.3002
20.976,0.3021
20.976,0.304
20.976,0.3059
20.976,0.3078
20.976,0.3097
20.976,0.3116
20.976,0.3135
20.976,0.3154
20.976,0.3173
20.976,0.3192
20.976,0.3211
20.976,0.323
20.976,0.3249
20.976,0.3268
20.976,0.3287
20.976,0.3306
20.976,0.3325
20.976,0.3344
20.976,0.3363
20.976,0.3382
20.976,0.3401
20.976,0.342
20.976,0.3439
20.976,0.3458
20.976,0.3477
20.976,0.3496
20.976,0.3515
20.976,0.3534
20.976,0.3553
20.976,0.3572
20.976,0.3591
20.976,0.361
20.976,0.3629
20.976,0.3648
20.976,0.3667
20.976,0.3686
20.976,0.3705
20.976,0.3724
20.976,0.3743
20.976,0.3762
20.976,0.3781
20.976,0.38
20.976,0.3819
20.976,0.3838
20.976,0.3857
20.976,0.3876
20.976,0.3895
20.976,0.3914
20.976,0.3933
20.976,0.3952
20.976,0.3971
20.976,0.399
20.976,0.4009
20.976,0.4028
20.976,0.4047
20.976,0.4066
20.976,0.4085
20.976,0.4104
20.976,0.4123
20.976,0.4142
20.976,0.4161
20.976,0.418
20.976,0.4199
20.976,0.4218
20.976,0.4237
20.976,0.4256
20.976,0.4275
20.976,0.4294
20.976,0.4313
20.976,0.4332
20.976,0.4351
20.975,0.437
20.975,0.4389
20.975,0.4408
20.975,0.4427
20.975,0.4446
20.975,0.4465
20.975,0.4484
20.975,0.4503
20.975,0.4522
20.975,0.4541
20.975,0.456
20.975,0.4579
20.975,0.4598
20.975,0.4617
20.975,0.4636
20.975,0.4655
20.975,0.4674
20.975,0.4693
20.975,0.4712
20.975,0.4731
20.975,0.475
20.975,0.4769
20.975,0.4788
20.975,0.4807
20.975,0.4826
20.975,0.4845
20.974,0.4864
20.974,0.4883
20.974,0.4902
20.974,0.4921
20.974,0.494
20.974,0.4959
20.974,0.4978
20.974,0.4997
20.974,0.5016
20.974,0.5035
20.974,0.5054
20.974,0.5073
20.974,0.5092
20.974,0.5111
20.974,0.513
20.974,0.5149
20.974,0.5168
20.974,0.5187
20.974,0.5206
20.974,0.5225
20.974,0.5244
20.974,0.5263
20.974,0.5282
20.974,0.5301
20.974,0.532
20.974,0.5339
20.974,0.5358
20.973,0.5377
20.973,0.5396
20.973,0.5415
20.973,0.5434
20.973,0.5453
20.973,0.5472
20.973,0.5491
20.973,0.551
20.973,0.5529
20.973,0.5548
20.973,0.5567
20.973,0.5586
20.973,0.5605
20.973,0.5624
20.973,0.5643
20.973,0.5662
20.973,0.5681
20.973,0.57
20.973,0.5719
20.973,0.5738
20.973,0.5757
20.973,0.5776
20.973,0.5795
20.973,0.5814
20.973,0.5833
20.973,0.5852
20.973,0.5871
20.973,0.589
20.973,0.5909
20.973,0.5928
20.973,0.5947
20.973,0.5966
20.973,0.5985
20.973,0.6004
20.973,0.6023
20.973,0.6042
20.973,0.6061
20.973,0.608
20.973,0.6099
20.973,0.6118
20.973,0.6137
20.973,0.6156
20.973,0.6175
20.973,0.6194
20.973,0.6213
20.973,0.6232
20.973,0.6251
20.973,0.627
20.973,0.6289
20.973,0.6308
20.973,0.6327
20.973,0.6346
20.973,0.6365
20.973,0.6384
20.973,0.6403
20.973,0.6422
20.973,0.6441
20.973,0.646
20.973,0.6479
20.973,0.6498
20.973,0.6517
20.973,0.6536
20.973,0.6555
20.973,0.6574
20.973,0.6593
20.973,0.6612
20.973,0.6631
20.973,0.665
20.973,0.6669
20.973,0.6688
20.973,0.6707
20.973,0.6726
20.973,0.6745
20.973,0.6764
20.973,0.6783
20.973,0.6802
20.973,0.6821
20.973,0.684
20.973,0.6859
20.973,0.6878
20.973,0.6897
20.973,0.6916
20.973,0.6935
20.973,0.6954
20.973,0.6973
20.973,0.6992
20.973,0.7011
20.973,0.703
20.973,0.7049
20.973,0.7068
20.973,0.7087
20.973,0.7106
20.973,0.7125
20.973,0.7144
20.973,0.7163
20.973,0.7182
20.973,0.7201
20.973,0.722
20.973,0.7239
20.973,0.7258
20.973,0.7277
20.973,0.7296
20.973,0.7315
20.973,0.7334
20.973,0.7353
20.973,0.7372
20.973,0.7391
20.973,0.741
20.973,0.7429
20.973,0.7448
20.973,0.7467
20.973,0.7486
20.973,0.7505
20.973,0.7524
20.973,0.7543
20.973,0.7562
20.973,0.7581
20.973,0.76
20.973,0.7619
20.973,0.7638
20.973,0.7657
20.973,0.7676
20.972,0.7695
20.972,0.7714
20.972,0.7733
20.972,0.7752
20.972,0.7771
20.972,0.779
20.972,0.7809
20.972,0.7828
20.972,0.7847
20.972,0.7866
20.972,0.7885
20.972,0.7904
20.972,0.7923
20.972,0.7942
20.972,0.7961
20.972,0.798
20.972,0.7999
20.972,0.8018
20.972,0.8037
20.972,0.8056
20.972,0.8075
20.972,0.8094
20.972,0.8113
20.972,0.8132
20.972,0.8151
20.973,0.817
20.973,0.8189
20.973,0.8208
20.973,0.8227
20.973,0.8246
20.973,0.8265
20.973,0.8284
20.973,0.8303
20.973,0.8322
20.973,0.8341
20.973,0.836
20.973,0.8379
20.973,0.8398
20.973,0.8417
20.973,0.8436
20.973,0.8455
20.973,0.8474
20.973,0.8493
20.973,0.8512
20.973,0.8531
20.973,0.855
20.973,0.8569
20.973,0.8588
20.973,0.8607
20.973,0.8626
20.973,0.8645
20.974,0.8664
20.974,0.8683
20.974,0.8702
20.974,0.8721
20.974,0.874
20.974,0.8759
20.974,0.8778
20.975,0.8797
20.975,0.8816
20.975,0.8835
20.975,0.8854
20.975,0.8873
20.976,0.8892
20.976,0.8911
20.976,0.893
20.976,0.8949
20.976,0.8968
20.976,0.8987
20.977,0.9006
20.977,0.9025
20.978,0.9044
20.979,0.9063
20.98,0.9082
20.982,0.9101
20.983,0.912
20.984,0.9139
20.986,0.9158
20.987,0.9177
20.988,0.9196
20.992,0.9215
20.998,0.9234
21.003,0.9253
21.008,0.9272
21.014,0.9291
21.019,0.931
21.024,0.9329
21.029,0.9348
21.038,0.9367
21.052,0.9386
21.067,0.9405
21.081,0.9424
21.096,0.9443
21.111,0.9462
21.128,0.9481
21.145,0.95
21.162,0.9519
21.179,0.9538
21.211,0.9557
21.25,0.9576
21.289,0.9595
21.328,0.9614
21.367,0.9633
21.406,0.9652
21.445,0.9671
21.484,0.969
21.527,0.9709
21.577,0.9728
21.631,0.9747
21.685,0.9766
21.739,0.9785
21.793,0.9804
21.848,0.9823
21.902,0.9842
21.956,0.9861
22.01,0.988
22.065,0.9899
22.119,0.9918
22.173,0.9937
22.228,0.9956
22.292,0.9975
22.353,0.9994
22.413,1.0013
22.473,1.0032
22.533,1.0051
22.593,1.007
22.653,1.0089
22.714,1.0108
22.774,1.0127
22.834,1.0146
22.893,1.0165
22.953,1.0184
23.013,1.0203
23.073,1.0222
23.119,1.0241
23.153,1.026
23.186,1.0279
23.219,1.0298
23.252,1.0317
23.285,1.0336
23.318,1.0355
23.351,1.0374
23.384,1.0393
23.417,1.0412
23.457,1.0431
23.491,1.045
23.524,1.0469
23.552,1.0488
23.575,1.0507
23.597,1.0526
23.62,1.0545
23.643,1.0564
23.659,1.0583
23.67,1.0602
23.682,1.0621
23.693,1.064
23.704,1.0659
23.715,1.0678
23.726,1.0697
23.737,1.0716
23.747,1.0735
23.752,1.0754
23.756,1.0773
23.759,1.0792
23.762,1.0811
23.765,1.083
23.769,1.0849
23.772,1.0868
23.775,1.0887
23.778,1.0906
23.783,1.0925
23.788,1.0944
23.793,1.0963
23.797,1.0982
23.801,1.1001
23.799,1.102
23.797,1.1039
23.795,1.1058
23.793,1.1077
23.806,1.1096
23.826,1.1115
23.845,1.1134
23.865,1.1153
23.885,1.1172
